,file name,orignal form,English translation
#Tension,T1,心配です,I worry
,T2,懸念,concern
,T3,落ち着かない,restless
,T4,緊張する,I get nervous
,T5,心配だ,I'm worried
,T6,不安です,I am anxious
,T7,不安だ,I'm anxious
,T8,ソワソワ,whimwham
,T9,そわそわ,whim-wham
,T10,気がかり,anxiety
,T11,落ち着かず,restless
,T12,落ち着きません,I do not feel calm
,T13,気掛かり,anxiety
,T14,キンチョー,tension
,T15,高ぶる,overwrought
,T16,しんぱい,worry
,T17,落ちつかない,I can not be calm
,T18,高ぶった,overwrought
,T19,うろたえる,panic-stricken
,T20,ふあん,anxious
,T21,きんちょう,tension
,,,
#Depression,D1,孤独,loneliness
,D2,不幸だ,unhappy
,D3,悲しく,sadly
,D4,憂鬱,melancholy
,D5,がっかり,disappointed
,D6,罪悪,guilt
,D7,ガッカリ,disappointed
,D8,後悔する,regret
,D9,哀しく,sadly
,D10,悲しかった,It was sad
,D11,何もできない,I can not do anything
,D12,悲しい。,sad.
,D13,哀しい,sad
,D14,何も出来ない,I can not do anything
,D15,惨め,miserable
,D16,みじめ,miserable
,D17,値しない,not worth
,D18,怯えた,I was scared
,D19,価値がない,I am not worth
,D20,怯える,frightened
,D21,できぬ,I cannot
,D22,何もできず,I cannot do anything
,D23,何もできません,I can not do anything
,D24,何も出来ず,I cannot do anything
,D25,何も出来ません,I can not do anything
,,,
#Anger,A1,怒る,get angry
,A2,ケンカ,fight
,A3,イライラする,get annoyed
,A4,困ります,I am in trouble
,A5,反抗,resistance
,A6,喧嘩し,quarrel
,A7,怒りを,for anger
,A8,意地悪,bitchery
,A9,怒った,got angry
,A10,困る。,I am in trouble.
,A11,不機嫌,cranky
,A12,困りました,I am troubled
,A13,けんか,fight
,A14,裏切られた,I was betrayed
,A15,いらいら,annoyance
,A16,困った。,I was in trouble.
,A17,怒りました,I got angry
,A18,腹立たしい,annoying
,A19,裏切られる,betrayed
,A20,こまる,Stop
,A21,憤慨,indignation
,A22,怒ります,I will get angry
,A23,苛々,annoyance
,A24,こまった,I was in trouble
,A25,腹立たしく,annoyingly
,,,
#Vigor,V1,活発,lively
,V2,元気いっぱい,energetic
,V3,陽気な,hilarious
,V4,活力,vitality
,V5,生き生き,vivify
,V6,活気,vigor
,V7,いい気分,good mood
,V8,積極的な,aggressive
,V9,イキイキ,vivify
,V10,げんき,energy
,V11,エネルギッシュ,energetic
,V12,活動的,active
,V13,精力的,energetic
,V14,元気一杯,full of energy
,V15,活き活き,vivify
,V16,みなぎる,feel full of
,V17,ゲンキ,cheer
,V18,バイタリティー,vitality
,V19,漲る,feel full of
,V20,冴え渡る,lambent
,,,
#Fatigue,F1,ぐったり,limp
,F2,だるい,dull
,F3,疲れた。,tired.
,F4,疲れます,I'm tired
,F5,疲れました。,I am tired.
,F6,うんざり,fed up
,F7,ヘトヘト,exhausted
,F8,グッタリ,limp
,F9,だるく,duller
,F10,疲れる。,I am tired.
,F11,ダルい,drowsy
,F12,ウンザリ,fed up
,F13,へとへと,exhausted
,F14,怠い,dull
,F15,くたびれた,clapped-out
,F16,ダルく,dull
,F17,怠く,dull
,F18,だるかった,I felt dull
,F19,ダルかった,I felt dull
,F20,くたびれました,I was clapped-out
,F21,くたびれる,I am clapped-out
,F22,怠かった,I was dulled
,,,
#Confusion,C1,自信がない,unconfident
,C2,グダグダ,mess
,C3,唖然,stunned
,C4,まとまらない,unfocused
,C5,混同,mix-up
,C6,集中できない,I can not concentrate
,C7,呆然,stupor
,C8,物忘れ,forgetfulness
,C9,ゴタゴタ,foul-up
,C10,ごった返し,crowded
,C11,混乱する,get confusing
,C12,放心状態,absence of mind
,C13,混乱を,for confusion
,C14,自信のない,not confident
,C15,大混乱,chaos
,C16,ボンヤリ,idly
,C17,頭が真っ白,mind goes blank
,C18,片付かない,I cannot clean up
,C19,一致しない,It does not match
,C20,ちぐはぐ,incoherent
,C21,混乱の,confused
,C22,自信が無い,I am not sure
,C23,ぐだぐだ,mess
,C24,錯乱,disarray
,C25,上の空,spacing out
,C26,混乱に,into confusion
,C27,手につかない,I'm not myself
,C28,混乱した,confued
,C29,ポカーン,jaw drops
,C30,混迷,imbroglio
,C31,まとまらず,unfocused
,C32,決裂,breakoff
,C33,ごたごた,foul-up
,C34,忘れっぽい,forget easily
,C35,ポカン,jaw drops
